episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
156,2.559999999999999,36,42928,4,1.0,33,0.33,7.666666666666667,1,0,0,0,0,11.0,18.0,18.0,23.0,7,20,17,16,84
157,2.3999999999999995,40,43088,4,1.0,44,0.44,2.6666666666666665,1,0,0,0,0,29.0,19.0,35.0,21.0,17,23,22,13,85
158,2.9999999999999996,25,43188,4,1.0,31,0.31,2.3333333333333335,1,0,0,0,0,13.0,23.0,14.0,12.0,6,19,13,8,54
159,2.679999999999999,33,43320,4,1.0,47,0.47,1.1666666666666667,1,0,0,0,0,25.0,31.0,24.0,25.0,12,30,11,21,58
160,2.4399999999999995,39,43476,4,1.0,36,0.36,2.5,1,0,0,0,0,17.0,23.0,13.0,27.0,18,7,22,13,96
161,2.7999999999999994,30,43596,4,1.0,39,0.39,2.3333333333333335,1,0,0,0,0,21.0,24.0,17.0,31.0,18,4,34,9,55
162,3.2799999999999994,18,43668,4,1.0,36,0.36,1.1666666666666667,1,0,0,0,0,20.0,15.0,14.0,16.0,1,30,1,22,18
163,3.4799999999999995,13,43720,4,1.0,29,0.29,2.3333333333333335,1,0,0,0,0,25.0,11.0,24.0,11.0,13,5,1,18,15
164,2.2799999999999994,43,43892,4,1.0,42,0.42,1.0,1,0,0,0,0,33.0,22.0,18.0,23.0,26,10,32,8,96
165,2.7599999999999993,31,44016,4,1.0,37,0.37,1.1666666666666667,1,0,0,0,0,21.0,24.0,28.0,24.0,10,26,12,18,58
166,2.9999999999999996,25,44116,4,1.0,37,0.37,2.5,1,0,0,0,0,17.0,19.0,25.0,15.0,22,5,27,18,28
167,3.1599999999999993,21,44200,4,1.0,36,0.36,1.5,1,0,0,0,0,15.0,15.0,17.0,13.0,6,29,2,14,33
168,2.999999999999999,25,44300,4,1.0,36,0.36,5.333333333333333,1,0,0,0,0,18.0,21.0,24.0,22.0,9,19,16,18,38
169,2.8799999999999994,28,44412,4,1.0,34,0.34,1.8333333333333333,1,0,0,0,0,18.0,28.0,21.0,22.0,32,5,14,19,42
170,2.6399999999999992,34,44548,4,1.0,45,0.45,3.3333333333333335,1,0,0,0,0,24.0,20.0,26.0,19.0,17,24,18,4,73
171,2.239999999999999,44,44724,4,1.0,41,0.41,3.0,1,0,0,0,0,39.0,30.0,21.0,34.0,8,29,37,23,79
172,3.0,25,44824,4,1.0,28,0.28,2.3333333333333335,1,0,0,0,0,17.0,23.0,25.0,19.0,12,16,11,19,42
173,3.3599999999999994,16,44888,4,1.0,33,0.33,7.333333333333333,1,0,0,0,0,18.0,21.0,16.0,19.0,5,16,2,20,21
174,1.9999999999999984,50,45088,4,1.0,34,0.34,2.1666666666666665,1,0,0,0,0,32.0,31.0,33.0,27.0,35,18,37,39,71
175,3.1199999999999997,22,45176,4,1.0,28,0.28,1.0,1,0,0,0,0,13.0,19.0,16.0,23.0,7,8,28,6,39
176,3.3199999999999994,17,45244,4,1.0,25,0.25,3.8333333333333335,1,0,0,0,0,22.0,16.0,19.0,14.0,5,8,19,7,29
177,2.0799999999999996,48,45436,4,1.0,45,0.45,5.666666666666667,1,0,0,0,0,30.0,26.0,37.0,38.0,12,35,26,30,89
178,2.839999999999999,29,45552,4,1.0,44,0.44,2.0,1,0,0,0,0,27.0,24.0,29.0,28.0,30,7,31,19,29
179,2.839999999999999,29,45668,4,1.0,36,0.36,1.8333333333333333,1,0,0,0,0,23.0,18.0,23.0,23.0,11,25,10,24,46
180,2.999999999999999,25,45768,4,1.0,41,0.41,1.0,1,0,0,0,0,20.0,18.0,25.0,26.0,5,25,13,23,34
181,2.639999999999999,34,45904,4,1.0,33,0.33,1.3333333333333333,1,0,0,0,0,28.0,20.0,25.0,39.0,18,30,19,17,52
182,2.639999999999999,34,46040,4,1.0,38,0.38,5.5,1,0,0,0,0,31.0,25.0,27.0,20.0,21,25,15,26,49
183,2.999999999999999,25,46140,4,1.0,28,0.28,1.0,1,0,0,0,0,23.0,18.0,24.0,20.0,24,10,25,11,30
184,2.8799999999999994,28,46252,4,1.0,32,0.32,1.6666666666666667,1,0,0,0,0,22.0,24.0,14.0,14.0,10,17,10,18,57
185,2.7199999999999993,32,46380,4,1.0,44,0.44,0.5,1,0,0,0,0,29.0,15.0,25.0,26.0,12,27,37,8,44
